wavelength,Back_EunCamf,Belly_EunCamf,Breast_EunCamf,Crissum_EunCamf,Crown_EunCamf,DorTail_EunCamf,Rump_EunCamf,Throat_EunCamf,WingTip_EunCamf
234.78,22.39,24.0251333333,37.0231333333,30.8174666667,28.6373333333,27.9245333333,28.9728,34.2769,26.4151333333
235.16,14.5176666667,17.851,29.9121333333,22.4561333333,21.0964666667,21.8420666667,21.1842,25.7455666667,19.0788666667
235.54,8.50866666666,8.42113333333,22.0175333333,18.1578666667,12.9385333333,15.7016666667,16.3596666667,18.0701666667,14.2981333333
235.91,1.47173333333,1.16879999999,14.3291333334,10.303,5.80093333333,10.606,9.78346666667,9.3506,9.65366666666
236.29,2.72353333333,2.27633333334,13.7804,8.53653333334,5.36573333333,9.7968,7.64226666666,8.33333333333,7.23580000001
236.66,4.35459999999,2.158,13.2562,9.20986666666,7.36033333332,11.0597333333,9.78813333333,8.43930000001,8.82473333332
237.04,4.03099999999,0.426333333332,12.6744,8.17826666667,7.51946666666,11.3178,10.8526,8.85653333333,8.10073333333
237.41,12.3049333333,7.51773333333,19.2909333333,16.9857333333,14.8226666667,17.1986,16.9148666667,16.8972,14.6454666667
237.79,16.8238666667,15.1573333333,25.3459333333,22.6728666667,21.7295333333,24.4654,22.9558,23.7893,21.3521333333
238.17,19.447,16.5648,27.3071333333,25.2984,22.9693333333,25.211,23.6680666667,24.9781333333,22.7365333333
238.54,18.9291333333,18.4471333333,26.64,24.9264,21.1245333333,24.7657333334,22.0616666667,23.7349333333,22.5166666667
238.92,15.1696,15.3712,22.8428,21.7358,18.692,22.7672,19.4464666667,20.8805666667,20.0754
239.29,18.3724,17.7928,24.7045333333,24.6599333333,21.3823333333,25.195,22.1852,23.3332,22.1852666666
239.67,20.3432666667,21.4141333333,25.9192,25.4344,22.8686666667,26.4444666667,23.3738666667,25.5456,23.6160666667
240.04,20.8619333333,22.3395333334,26.6139333333,25.8223333333,22.8672,27.2472,24.8900666666,26.1301666667,25.5408
